url_club,club_league2021,url_club_stadium,club_stadium_coord,club_stadium_lat,club_stadium_lbg
/wiki/FK_Inter_Bratislava,3.liga Bratislava Group,"/wiki/Stupava,_Malacky_District",48°16′16″N 17°01′54″E,48.27111111111111,17.031666666666666
/wiki/%C5%A0K_Slovan_Bratislava,Fortuna liga,/wiki/Teheln%C3%A9_pole,48°9′48.81″N 17°8′12.68″E,48.163558333333334,17.136855555555556
/wiki/Dukla_Prague,Czechoslovak League (1949–1993)Czech League (1993–1994)Czech Third League (1994–1996),/wiki/Stadion_Juliska,50°06′43″N 14°23′15″E,50.11194444444445,14.3875
/wiki/RH_Brno,NA,NA,NA,NA,NA
/wiki/AC_Sparta_Praha,Czech First League,/wiki/Stadion_Letn%C3%A1,50°5′59.29″N 14°24′57.28″E,50.09980277777778,14.415911111111111
/wiki/Tatran_Pre%C5%A1ov,3.liga,/wiki/Tatran_Stadion,49°00′24.32″N 21°14′04.43″E,49.00675555555556,21.23456388888889
/wiki/OGC_Nice,Ligue 1,/wiki/Allianz_Riviera,43°42′18.5″N 7°11′33.3″E,43.70513888888889,7.192583333333333
/wiki/RC_Paris,National 3 Group L,/wiki/Stade_Olympique_Yves-du-Manoir,48°55′46″N 2°14′53″E,48.92944444444444,2.2480555555555557
/wiki/AS_Saint-%C3%89tienne,Ligue 1,/wiki/Stade_Geoffroy-Guichard,45°27′39″N 4°23′25″E,45.46083333333333,4.390277777777778
/wiki/Stade_de_Reims,Ligue 1,/wiki/Stade_Auguste-Delaune,49°14′48″N 4°1′30″E,49.24666666666667,4.025
/wiki/Le_Havre_AC,Ligue 2,/wiki/Stade_Oc%C3%A9ane,49°29′56″N 00°10′11″E,49.49888888888889,0.16972222222222222
/wiki/RC_Lens,Ligue 1,/wiki/Stade_Bollaert-Delelis,50°25′58″N 2°48′54″E,50.43277777777777,2.815
/wiki/Lokomotiv_Moscow,Russian Premier League,/wiki/RZD_Arena,55°48′13″N 37°44′28″E,55.80361111111111,37.74111111111111
/wiki/FC_Dynamo_Moscow,Russian Premier League,/wiki/VTB_Arena,55°47′29″N 37°33′35″E,55.79138888888889,37.55972222222222
/wiki/FC_Dinamo_Tbilisi,Erovnuli Liga,/wiki/Boris_Paichadze_Dinamo_Arena,41°43′22.83″N 44°47′23.14″E,41.72300833333333,44.78976111111111
/wiki/FC_Spartak_Moscow,Russian Premier League,/wiki/Otkritie_Arena,55°49′4.3″N 37°26′24.9″E,55.817861111111114,37.44025
/wiki/FC_Dynamo_Kyiv,Ukrainian Premier League,/wiki/Olimpiyskiy_National_Sports_Complex,50°26′00″N 30°31′18″E,50.43333333333333,30.521666666666665
/wiki/PFC_CSKA_Moscow,Russian Premier League,/wiki/VEB_Arena,55°47′29″N 37°30′58″E,55.79138888888889,37.51611111111111
/wiki/Torpedo_Moscow,FNL,NA,NA,NA,NA
/wiki/SKA_Rostov,"Russian Professional Football League, Group 1",/wiki/SKA_SKVO_Stadium,47°16′18″N 39°43′40″E,47.27166666666667,39.72777777777778
/wiki/FK_Partizan,Serbian SuperLiga,/wiki/Partizan_Stadium,44°47′19.48″N 20°27′32.75″E,44.78874444444444,20.459097222222223
/wiki/Radni%C4%8Dki_Beograd,Serbian League Belgrade,/wiki/New_Belgrade,44°48′N 20°25′E,44.8,20.416666666666668
/wiki/Dinamo_Zagreb,Prva HNL,/wiki/Stadion_Maksimir,45°49′7.89″N 16°1′5.08″E,45.81885833333334,16.018077777777776
/wiki/Red_Star_Belgrade,Serbian SuperLiga,/wiki/Red_Star_Stadium,44°47′00″N 20°27′54″E,44.78333333333333,20.465
/wiki/FK_Vojvodina,Serbian SuperLiga,/wiki/Kara%C4%91or%C4%91e_Stadium,45°14′48″N 19°50′32″E,45.24666666666667,19.842222222222222
/wiki/Hajduk_Split,Prva HNL,/wiki/Stadion_Poljud,43°31′10″N 16°25′54″E,43.519444444444446,16.43166666666667
/wiki/Borac_Banja_Luka,Premier League BH,/wiki/Banja_Luka_City_Stadium,44°46′34″N 17°11′59″E,44.77611111111111,17.199722222222224
/wiki/Vele%C5%BE_Mostar,Premier League BH,/wiki/Ro%C4%91eni_Stadium,43°22′42″N 17°51′16″E,43.37833333333333,17.854444444444447
/wiki/Boldklubben_Frem,2nd Division,/wiki/Valby_Idr%C3%A6tspark,55°38′49.04″N 12°30′42.65″E,55.64695555555556,12.511847222222222
/wiki/Boldklubben_1909,Funen Series,/w/index.php?title=Gillested_Park&action=edit&redlink=1,NA,NA,NA
/wiki/Aarhus_Gymnastik_Forening,Danish Superliga,/wiki/Aarhus_Stadium,56°07′55″N 10°11′48″E,56.13194444444444,10.196666666666667
/wiki/B_1903,Denmark Series,/wiki/Gentofte_Sportspark,55°45′29″N 12°31′38″E,55.75805555555556,12.527222222222223
/wiki/Esbjerg_fB,1st Division,/wiki/Blue_Water_Arena,55°28′55″N 8°26′22″E,55.481944444444444,8.439444444444444
/wiki/Kj%C3%B8benhavns_Boldklub,Københavnsserien (tier 5),/wiki/Copenhagen,55°40′34″N 12°34′06″E,55.67611111111111,12.568333333333333
/wiki/Hellerup_IK,Danish 2nd Division,/wiki/Gentofte_Stadion,55°45′29″N 12°31′38″E,55.75805555555556,12.527222222222223
/wiki/Boldklubben_1913,Denmark Series,/w/index.php?title=Campus_Road_(Odense)&action=edit&redlink=1,NA,NA,NA
/wiki/Boldklubben_1893,"Danish 2nd Division, G1",/wiki/%C3%98sterbro_Stadion,55°42′15″N 12°34′29″E,55.70416666666667,12.574722222222222
/wiki/AaB_Fodbold,Danish Superliga,/wiki/Aalborg_Stadium,57°3′5.4″N 9°53′56.76″E,57.0515,9.899099999999999
/wiki/Tatab%C3%A1nyai_B%C3%A1ny%C3%A1sz,Nemzeti Bajnokság II,/wiki/Tatab%C3%A1nya,47°35′10″N 18°23′41″E,47.586111111111116,18.39472222222222
/wiki/Vasas_SC,NB II,/wiki/Illovszky_Rudolf_Stadion,47°32′13″N 19°04′50″E,47.536944444444444,19.080555555555556
/wiki/Ferencv%C3%A1rosi_Torna_Club,NB I,/wiki/Ferencv%C3%A1ros_Stadion,47°28′32″N 19°5′43″E,47.47555555555556,19.095277777777778
/wiki/Budapest_Honv%C3%A9d_FC,NB I,/wiki/Bozsik_Ar%C3%A9na,47°26′33″N 19°9′18″E,47.442499999999995,19.154999999999998
/wiki/MTK_Hung%C3%A1ria_FC,NB I,/wiki/Hidegkuti_N%C3%A1ndor_Stadion,47°29′27.31″N 19°6′24.21″E,47.490919444444444,19.106725
/wiki/%C3%9Ajpest_FC,NB I,/wiki/Szusza_Ferenc_stadion,47°34′29.61″N 19°5′4.74″E,47.57489166666667,19.08465
/wiki/FC_Torpedo_Kutaisi,Erovnuli Liga,/wiki/Ramaz_Shengelia_Stadium,42°15′19″N 42°40′59″E,42.25527777777778,42.683055555555555
/wiki/FC_Torpedo_Moscow,FNL,NA,NA,NA,NA
/wiki/FC_SKVO_Rostov-on-Don,"Russian Professional Football League, Group 1",/wiki/SKA_SKVO_Stadium,47°16′18″N 39°43′40″E,47.27166666666667,39.72777777777778
/wiki/FC_Dinamo_Minsk,Belarusian Premier League,/wiki/Dinamo_Stadium_(Minsk),53°53′42.67″N 27°33′36.20″E,53.89518611111111,27.560055555555557
/wiki/Athletic_Bilbao,La Liga,/wiki/San_Mam%C3%A9s_Stadium_(2013),43°15′51″N 2°57′01″W,43.26416666666667,-2.950277777777778
/wiki/FC_Barcelona,La Liga,/wiki/Camp_Nou,41°22′51″N 2°07′22″E,41.380833333333335,2.122777777777778
/wiki/Atl%C3%A9tico_Madrid,La Liga,/wiki/Metropolitano_Stadium,40°26′10″N 3°35′58″W,40.43611111111111,-3.5994444444444444
/wiki/Sevilla_FC,La Liga,/wiki/Ram%C3%B3n_S%C3%A1nchez_Pizju%C3%A1n_Stadium,37°23′02″N 5°58′14″W,37.38388888888889,-5.970555555555555
/wiki/Real_Zaragoza,Segunda División,/wiki/La_Romareda,41°38′11.73″N 0°54′6.56″W,41.63659166666667,-0.9018222222222222
/wiki/Juventus_F.C.,Serie A,/wiki/Juventus_Stadium,45°6′34″N 7°38′28″E,45.10944444444445,7.641111111111111
/wiki/Valencia_CF,La Liga,/wiki/Estadio_de_Mestalla,39°28′28.76″N 0°21′30.10″W,39.47465555555556,-0.3583611111111111
/wiki/Real_Madrid_C.F.,La Liga,/wiki/Santiago_Bernab%C3%A9u_Stadium,40°27′11″N 3°41′18″W,40.45305555555556,-3.6883333333333335
/wiki/F.C._Internazionale_Milano,Serie A,/wiki/San_Siro,45°28′41″N 9°07′26″E,45.47805555555556,9.123888888888889
/wiki/Stoke_City_F.C.,Championship,/wiki/Bet365_Stadium,52°59′18″N 2°10′32″W,52.98833333333334,-2.1755555555555555
/wiki/Blackburn_Rovers_F.C.,Championship,/wiki/Ewood_Park,53°43′43″N 2°29′21″W,53.728611111111114,-2.4891666666666667
/wiki/Everton_F.C.,Premier League,/wiki/Goodison_Park,53°26′20″N 2°57′59″W,53.43888888888888,-2.966388888888889
/wiki/Tottenham_Hotspur_F.C.,Premier League,/wiki/Tottenham_Hotspur_Stadium,51°36′16″N 0°03′59″W,51.60444444444445,-0.06638888888888889
/wiki/West_Ham_United_F.C.,Premier League,/wiki/London_Stadium,51°32′19″N 0°00′59″W,51.53861111111111,-0.01638888888888889
/wiki/Liverpool_F.C.,Premier League,/wiki/Anfield,53°25′51″N 2°57′39″W,53.43083333333333,-2.9608333333333334
/wiki/Manchester_United_F.C.,Premier League,/wiki/Old_Trafford,53°27′47″N 2°17′29″W,53.463055555555556,-2.2913888888888887
/wiki/Leeds_United_A.F.C.,Premier League,/wiki/Elland_Road,53°46′40″N 1°34′20″W,53.77777777777778,-1.5722222222222222
/wiki/Manchester_City_F.C.,Premier League,/wiki/City_of_Manchester_Stadium,53°28′59″N 2°12′1″W,53.48305555555556,-2.200277777777778
/wiki/ACF_Fiorentina,Serie A,/wiki/Stadio_Artemio_Franchi,43°46′50.96″N 11°16′56.13″E,43.78082222222222,11.282258333333335
