uefa_coef,league_country
1,Spain
2,Germany
3,England
4,Italy
5,Portugal
6,France
7,Russia
8,Ukraine
9,Belgium
10,Netherlands
11,Turkey
12,Switzerland
13,Czech Republic
14,Greece
15,Romania
16,Austria
17,Croatia
18,Poland
19,Cyprus
20,Belarus
21,Sweden
22,Norway
23,Israel
24,Denmark
25,Scotland
26,Azerbaijan
27,Serbia
28,Kazakhstan
29,Bulgaria
30,Slovenia
31,Slovakia
32,Liechtenstein
33,Hungary
34,Moldova
35,Iceland
36,Georgia
37,Finland
38,Bosnia and Herzegovina
39,Albania
40,Macedonia
41,Republic of Ireland
42,Latvia
43,Luxembourg
44,Montenegro
45,Lithuania
46,Northern Ireland
47,Estonia
48,Armenia
49,Faroe Islands
50,Malta
51,Wales
52,Gibraltar
53,Andorra
54,San Marino
55,Kosovo
