url_club,country,year,club_comp,matches,league_alpha3,league
https://www.worldfootball.net/teams/lazio-roma/,Italy,1984,Serie A 1983/1984,30,ITA,Italy
https://www.worldfootball.net/teams/lazio-roma/,Italy,1992,Serie A 1991/1992,34,ITA,Italy
https://www.worldfootball.net/teams/lazio-roma/,Italy,1996,Serie A 1995/1996,34,ITA,Italy
https://www.worldfootball.net/teams/lazio-roma/,Italy,2000,Serie A 1999/2000,34,ITA,Italy
https://www.worldfootball.net/teams/lazio-roma/,Italy,2004,Serie A 2003/2004,34,ITA,Italy
https://www.worldfootball.net/teams/lazio-roma/,Italy,2008,Serie A 2007/2008,38,ITA,Italy
https://www.worldfootball.net/teams/lazio-roma/,Italy,2012,Serie A 2011/2012,38,ITA,Italy
https://www.worldfootball.net/teams/lazio-roma/,Italy,2016,Serie A 2015/2016,38,ITA,Italy
https://www.worldfootball.net/teams/fk-partizani/,Albania,2016,Kategoria Superiore 2015/2016,36,ALB,Albania
https://www.worldfootball.net/teams/kf-skenderbeu/,Albania,2016,Kategoria Superiore 2015/2016,36,ALB,Albania
https://www.worldfootball.net/teams/qarabag-fk/,Azerbaijan,2016,Premyer Liqası 2015/2016,36,AZE,Azerbaijan
https://www.worldfootball.net/teams/frosinone-calcio/,Italy,2016,Serie A 2015/2016,38,ITA,Italy
https://www.worldfootball.net/teams/fc-basel/,Switzerland,2004,Super League 2003/2004,36,CHE,Switzerland
https://www.worldfootball.net/teams/fc-basel/,Switzerland,2008,Super League 2007/2008,36,CHE,Switzerland
https://www.worldfootball.net/teams/fc-basel/,Switzerland,2016,Super League 2015/2016,36,CHE,Switzerland
https://www.worldfootball.net/teams/fc-nantes/,France,1984,Ligue 1 1983/1984,38,FRA,France
https://www.worldfootball.net/teams/fc-nantes/,France,1992,Ligue 1 1991/1992,38,FRA,France
https://www.worldfootball.net/teams/fc-nantes/,France,1996,Ligue 1 1995/1996,38,FRA,France
https://www.worldfootball.net/teams/fc-nantes/,France,2004,Ligue 1 2003/2004,38,FRA,France
https://www.worldfootball.net/teams/fc-nantes/,France,2016,Ligue 1 2015/2016,38,FRA,France
https://www.worldfootball.net/teams/ssc-napoli/,Italy,1968,Serie A 1967/1968,30,ITA,Italy
https://www.worldfootball.net/teams/ssc-napoli/,Italy,1980,Serie A 1979/1980,30,ITA,Italy
https://www.worldfootball.net/teams/ssc-napoli/,Italy,1988,Serie A 1987/1988,30,ITA,Italy
https://www.worldfootball.net/teams/ssc-napoli/,Italy,1992,Serie A 1991/1992,34,ITA,Italy
https://www.worldfootball.net/teams/ssc-napoli/,Italy,2008,Serie A 2007/2008,38,ITA,Italy
https://www.worldfootball.net/teams/ssc-napoli/,Italy,2012,Serie A 2011/2012,38,ITA,Italy
https://www.worldfootball.net/teams/ssc-napoli/,Italy,2016,Serie A 2015/2016,38,ITA,Italy
https://www.worldfootball.net/teams/pas-giannina/,Greece,2016,Super League 2015/2016,30,GRC,Greece
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,1972,Bundesliga 1971/1972,34,FRG,West Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,1976,Bundesliga 1975/1976,34,FRG,West Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,1980,Bundesliga 1979/1980,34,FRG,West Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,1984,Bundesliga 1983/1984,34,FRG,West Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,1988,Bundesliga 1987/1988,34,FRG,West Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,1992,Bundesliga 1991/1992,38,DEU,Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,1996,Bundesliga 1995/1996,34,DEU,Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,2000,2. Bundesliga 1999/2000,34,DEU,Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,2004,Bundesliga 2003/2004,34,DEU,Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,2012,Bundesliga 2011/2012,34,DEU,Germany
https://www.worldfootball.net/teams/1-fc-koeln/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/fc-lugano/,Switzerland,2016,Super League 2015/2016,36,CHE,Switzerland
https://www.worldfootball.net/teams/sc-freiburg/,Germany,1996,Bundesliga 1995/1996,34,DEU,Germany
https://www.worldfootball.net/teams/sc-freiburg/,Germany,2004,Bundesliga 2003/2004,34,DEU,Germany
https://www.worldfootball.net/teams/sc-freiburg/,Germany,2016,2. Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/calcio-como/,Italy,2016,Serie B 2015/2016,42,ITA,Italy
https://www.worldfootball.net/teams/colorado-rapids/,USA,2016,Major League Soccer 2016,34,USA,USA
https://www.worldfootball.net/teams/paok-saloniki/,Greece,1980,NA,NA,GRC,Greece
https://www.worldfootball.net/teams/paok-saloniki/,Greece,2012,Super League 2011/2012,30,GRC,Greece
https://www.worldfootball.net/teams/paok-saloniki/,Greece,2016,Super League 2015/2016,30,GRC,Greece
https://www.worldfootball.net/teams/fc-zuerich/,Switzerland,2004,Super League 2003/2004,36,CHE,Switzerland
https://www.worldfootball.net/teams/fc-zuerich/,Switzerland,2016,Super League 2015/2016,36,CHE,Switzerland
https://www.worldfootball.net/teams/pescara-calcio/,Italy,2016,Serie B 2015/2016,42,ITA,Italy
https://www.worldfootball.net/teams/hnk-rijeka/,Croatia,2016,1. HNL 2015/2016,36,HRV,Croatia
https://www.worldfootball.net/teams/istanbul-basaksehir/,Turkey,2012,SüperLig 2011/2012,34,TUR,Turkey
https://www.worldfootball.net/teams/istanbul-basaksehir/,Turkey,2016,SüperLig 2015/2016,34,TUR,Turkey
https://www.worldfootball.net/teams/fc-vaduz/,Liechtenstein,2016,Super League 2015/2016,36,LIE,Liechtenstein
https://www.worldfootball.net/teams/austria-wien/,Austria,2004,Bundesliga 2003/2004,36,AUT,Austria
https://www.worldfootball.net/teams/austria-wien/,Austria,2008,Bundesliga 2007/2008,36,AUT,Austria
https://www.worldfootball.net/teams/austria-wien/,Austria,2016,Bundesliga 2015/2016,36,AUT,Austria
https://www.worldfootball.net/teams/eintracht-frankfurt/,Germany,1972,Bundesliga 1971/1972,34,FRG,West Germany
https://www.worldfootball.net/teams/eintracht-frankfurt/,Germany,1976,Bundesliga 1975/1976,34,FRG,West Germany
https://www.worldfootball.net/teams/eintracht-frankfurt/,Germany,1984,Bundesliga 1983/1984,34,FRG,West Germany
https://www.worldfootball.net/teams/eintracht-frankfurt/,Germany,1992,Bundesliga 1991/1992,38,DEU,Germany
https://www.worldfootball.net/teams/eintracht-frankfurt/,Germany,1996,Bundesliga 1995/1996,34,DEU,Germany
https://www.worldfootball.net/teams/eintracht-frankfurt/,Germany,2008,Bundesliga 2007/2008,34,DEU,Germany
https://www.worldfootball.net/teams/eintracht-frankfurt/,Germany,2012,2. Bundesliga 2011/2012,34,DEU,Germany
https://www.worldfootball.net/teams/eintracht-frankfurt/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/fc-ingolstadt-04/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/dinamo-kiev/,Ukraine,1960,Vysshaya Liga 1960 Group B,20,SUN,USSR
https://www.worldfootball.net/teams/dinamo-kiev/,Ukraine,1968,Vysshaya Liga 1968,38,SUN,USSR
https://www.worldfootball.net/teams/dinamo-kiev/,Ukraine,1972,Vysshaya Liga 1972,30,SUN,USSR
https://www.worldfootball.net/teams/dinamo-kiev/,Ukraine,1988,Vysshaya Liga 1988,30,SUN,USSR
https://www.worldfootball.net/teams/dinamo-kiev/,Ukraine,1992,Premyer Liga 1992 Group B,18,UKR,Ukraine
https://www.worldfootball.net/teams/dinamo-kiev/,Ukraine,2004,Premyer Liga 2003/2004,30,UKR,Ukraine
https://www.worldfootball.net/teams/dinamo-kiev/,Ukraine,2012,Premyer Liga 2011/2012,30,UKR,Ukraine
https://www.worldfootball.net/teams/dinamo-kiev/,Ukraine,2016,Premyer Liga 2015/2016,26,UKR,Ukraine
https://www.worldfootball.net/teams/leicester-city/,England,2000,Premier League 1999/2000,38,GB-ENG,England
https://www.worldfootball.net/teams/leicester-city/,England,2004,Premier League 2003/2004,38,GB-ENG,England
https://www.worldfootball.net/teams/leicester-city/,England,2012,Championship 2011/2012,46,GB-ENG,England
https://www.worldfootball.net/teams/leicester-city/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/sv-darmstadt-98/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,1972,Bundesliga 1971/1972,34,FRG,West Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,1976,Bundesliga 1975/1976,34,FRG,West Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,1980,Bundesliga 1979/1980,34,FRG,West Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,1984,Bundesliga 1983/1984,34,FRG,West Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,1992,Bundesliga 1991/1992,38,DEU,Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,2004,Bundesliga 2003/2004,34,DEU,Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,2008,2. Bundesliga 2007/2008,34,DEU,Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,2012,Bundesliga 2011/2012,34,DEU,Germany
https://www.worldfootball.net/teams/bor-moenchengladbach/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,1972,Bundesliga 1971/1972,34,FRG,West Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,1980,Bundesliga 1979/1980,34,FRG,West Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,1984,Bundesliga 1983/1984,34,FRG,West Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,1988,Bundesliga 1987/1988,34,FRG,West Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,1992,Bundesliga 1991/1992,38,DEU,Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,1996,Bundesliga 1995/1996,34,DEU,Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,2000,Bundesliga 1999/2000,34,DEU,Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,2004,Bundesliga 2003/2004,34,DEU,Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,2008,Bundesliga 2007/2008,34,DEU,Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,2012,Bundesliga 2011/2012,34,DEU,Germany
https://www.worldfootball.net/teams/vfb-stuttgart/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/watford-fc/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,1968,Premier League 1967/1968,42,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,1980,Premier League 1979/1980,42,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,1988,Premier League 1987/1988,40,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,1992,Premier League 1991/1992,42,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,1996,Premier League 1995/1996,38,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,2000,Premier League 1999/2000,38,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,2004,Premier League 2003/2004,38,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,2012,Premier League 2011/2012,38,GB-ENG,England
https://www.worldfootball.net/teams/tottenham-hotspur/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,1972,Bundesliga 1971/1972,34,FRG,West Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,1976,Bundesliga 1975/1976,34,FRG,West Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,1980,Bundesliga 1979/1980,34,FRG,West Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,1984,Bundesliga 1983/1984,34,FRG,West Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,1988,Bundesliga 1987/1988,34,FRG,West Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,1992,Bundesliga 1991/1992,38,DEU,Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,1996,Bundesliga 1995/1996,34,DEU,Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,2000,Bundesliga 1999/2000,34,DEU,Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,2004,Bundesliga 2003/2004,34,DEU,Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,2008,Bundesliga 2007/2008,34,DEU,Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,2012,Bundesliga 2011/2012,34,DEU,Germany
https://www.worldfootball.net/teams/bayern-muenchen/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/stoke-city/,England,1968,Premier League 1967/1968,42,GB-ENG,England
https://www.worldfootball.net/teams/stoke-city/,England,2012,Premier League 2011/2012,38,GB-ENG,England
https://www.worldfootball.net/teams/stoke-city/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/1-fsv-mainz-05/,Germany,2012,Bundesliga 2011/2012,34,DEU,Germany
https://www.worldfootball.net/teams/1-fsv-mainz-05/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/rb-leipzig/,Germany,2016,2. Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/fc-luzern/,Switzerland,2016,Super League 2015/2016,36,CHE,Switzerland
https://www.worldfootball.net/teams/werder-bremen/,Germany,1972,Bundesliga 1971/1972,34,FRG,West Germany
https://www.worldfootball.net/teams/werder-bremen/,Germany,1984,Bundesliga 1983/1984,34,FRG,West Germany
https://www.worldfootball.net/teams/werder-bremen/,Germany,1988,Bundesliga 1987/1988,34,FRG,West Germany
https://www.worldfootball.net/teams/werder-bremen/,Germany,1996,Bundesliga 1995/1996,34,DEU,Germany
https://www.worldfootball.net/teams/werder-bremen/,Germany,2000,Bundesliga 1999/2000,34,DEU,Germany
https://www.worldfootball.net/teams/werder-bremen/,Germany,2004,Bundesliga 2003/2004,34,DEU,Germany
https://www.worldfootball.net/teams/werder-bremen/,Germany,2008,Bundesliga 2007/2008,34,DEU,Germany
https://www.worldfootball.net/teams/werder-bremen/,Germany,2012,Bundesliga 2011/2012,34,DEU,Germany
https://www.worldfootball.net/teams/werder-bremen/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,1972,Bundesliga 1971/1972,34,FRG,West Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,1976,Bundesliga 1975/1976,34,FRG,West Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,1988,Bundesliga 1987/1988,34,FRG,West Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,1992,Bundesliga 1991/1992,38,DEU,Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,1996,Bundesliga 1995/1996,34,DEU,Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,2000,Bundesliga 1999/2000,34,DEU,Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,2004,Bundesliga 2003/2004,34,DEU,Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,2008,Bundesliga 2007/2008,34,DEU,Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,2012,Bundesliga 2011/2012,34,DEU,Germany
https://www.worldfootball.net/teams/fc-schalke-04/,Germany,2016,Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/tsv-1860-muenchen/,Germany,1996,Bundesliga 1995/1996,34,DEU,Germany
https://www.worldfootball.net/teams/tsv-1860-muenchen/,Germany,2000,Bundesliga 1999/2000,34,DEU,Germany
https://www.worldfootball.net/teams/tsv-1860-muenchen/,Germany,2004,Bundesliga 2003/2004,34,DEU,Germany
https://www.worldfootball.net/teams/tsv-1860-muenchen/,Germany,2016,2. Bundesliga 2015/2016,34,DEU,Germany
https://www.worldfootball.net/teams/chelsea-fc/,England,1988,Premier League 1987/1988,40,GB-ENG,England
https://www.worldfootball.net/teams/chelsea-fc/,England,1996,Premier League 1995/1996,38,GB-ENG,England
https://www.worldfootball.net/teams/chelsea-fc/,England,2000,Premier League 1999/2000,38,GB-ENG,England
https://www.worldfootball.net/teams/chelsea-fc/,England,2004,Premier League 2003/2004,38,GB-ENG,England
https://www.worldfootball.net/teams/chelsea-fc/,England,2008,Premier League 2007/2008,38,GB-ENG,England
https://www.worldfootball.net/teams/chelsea-fc/,England,2012,Premier League 2011/2012,38,GB-ENG,England
https://www.worldfootball.net/teams/chelsea-fc/,England,2016,Premier League 2015/2016,38,GB-ENG,England
https://www.worldfootball.net/teams/standard-liege/,Belgium,1972,Eerste klasse A 1971/1972,30,BEL,Belgium
https://www.worldfootball.net/teams/standard-liege/,Belgium,1980,Eerste klasse A 1979/1980,34,BEL,Belgium
https://www.worldfootball.net/teams/standard-liege/,Belgium,2000,Eerste klasse A 1999/2000,34,BEL,Belgium
https://www.worldfootball.net/teams/standard-liege/,Belgium,2016,Eerste klasse A 2015/2016,30,BEL,Belgium
https://www.worldfootball.net/teams/liverpool-fc/,England,1968,Premier League 1967/1968,42,GB-ENG,England
https://www.worldfootball.net/teams/liverpool-fc/,England,1980,Premier League 1979/1980,42,GB-ENG,England
https://www.worldfootball.net/teams/liverpool-fc/,England,1988,Premier League 1987/1988,40,GB-ENG,England
https://www.worldfootball.net/teams/liverpool-fc/,England,1992,Premier League 1991/1992,42,GB-ENG,England
https://www.worldfootball.net/teams/liverpool-fc/,England,1996,Premier League 1995/1996,38,GB-ENG,England
https://www.worldfootball.net/teams/liverpool-fc/,England,2000,Premier League 1999/2000,38,GB-ENG,England
