"team_alpha3","url_team","c1","c2","c3"
"FRA","/wiki/France_national_football_team","#0025DD","#FF0000",NA
"YUG","/wiki/Yugoslavia_national_football_team","#0000FF","#FFFFFF","#FF0000"
"SUN","/wiki/Soviet_Union_national_football_team","#FF0000","#FFFFFF",NA
"CSK","/wiki/Czechoslovakia_national_football_team","#FF0000","#29459B",NA
"DNK","/wiki/Denmark_national_football_team","#d70a14","#F30101","#e90c16"
"ESP","/wiki/Spain_national_football_team","#FF0000","#004080",NA
"HUN","/wiki/Hungary_national_football_team","#EF0000","#FFFFFF","#006633"
"ITA","/wiki/Italy_national_football_team","#0000FF","#FFFFFF",NA
"GB-ENG","/wiki/England_national_football_team","#FFFFFF","#000066",NA
"BEL","/wiki/Belgium_national_football_team","#8A0B11","#000000",NA
"DEU","/wiki/Germany_national_football_team","#FFFFFF",NA,NA
"NLD","/wiki/Netherlands_national_football_team","#FF6100",NA,NA
"GRC","/wiki/Greece_national_football_team","#FFFFFF",NA,NA
"PRT","/wiki/Portugal_national_football_team","#FF0000",NA,NA
"ROU","/wiki/Romania_national_football_team","#FEEE00",NA,NA
"IRL","/wiki/Republic_of_Ireland_national_football_team","#109240","#FFFFFF",NA
"SWE","/wiki/Sweden_men%27s_national_football_team","#FFF200","#000040",NA
"CIS","/wiki/CIS_national_football_team","#FF0000","#FFFFFF",NA
"GB-SCT","/wiki/Scotland_national_football_team","#000040",NA,NA
"RUS","/wiki/Russia_national_football_team","#D62718",NA,NA
"CHE","/wiki/Switzerland_national_football_team","#FF0000","#A60014",NA
"HRV","/wiki/Croatia_national_football_team","#FFFFFF",NA,NA
"BGR","/wiki/Bulgaria_national_football_team","#FFFFFF","#006022","#FF0000"
"TUR","/wiki/Turkey_national_football_team","#FFFFFF",NA,NA
"CZE","/wiki/Czech_Republic_national_football_team","#F6090F","#FFFFFF","#0000EC"
"NOR","/wiki/Norway_national_football_team","#D20000","#AE0004","#202747"
"YUG","/wiki/Serbia_and_Montenegro_national_football_team","#2354A7","#FFFFFF","#D91111"
"SVN","/wiki/Slovenia_national_football_team","#FFFFFF",NA,NA
"LVA","/wiki/Latvia_national_football_team","#AA0000",NA,NA
"AUT","/wiki/Austria_national_football_team","#FF0000","#FFFFFF",NA
"POL","/wiki/Poland_national_football_team","#FFFFFF","#F40018",NA
"UKR","/wiki/Ukraine_national_football_team","#FFDD00","#FFE000",NA
"ISL","/wiki/Iceland_national_football_team","#0044FF",NA,NA
"GB-NIR","/wiki/Northern_Ireland_national_football_team","#008000","#22913C","#FFFFFF"
"GB-WLS","/wiki/Wales_national_football_team","#EF0000",NA,NA
"ALB","/wiki/Albania_national_football_team","#ff0000","#000000",NA
"SVK","/wiki/Slovakia_national_football_team","#0000FF",NA,NA
"FIN","/wiki/Finland_national_football_team","#FFFFFF",NA,NA
"MKD","/wiki/North_Macedonia_national_football_team","#FF0000","#FF1111",NA
"SRB","/wiki/Serbia_national_football_team","#DF001C","#072898","#FFFFFF"
"GEO","/wiki/Georgia_national_football_team","#FFFFFF",NA,NA
