year,team,alpha3,country,colour1_code,col1,col2,colour2_code
2016,Albania,ALB,Albania,"red,black",red,black,NA
2016,Austria,AUT,Austria,"red,white",red,white,NA
2008,Austria,AUT,Austria,"red,white",red,white,NA
2016,Belgium,BEL,Belgium,red,red,NA,"black,yellow,#75AADB"
2000,Belgium,BEL,Belgium,red,red,NA,"black,yellow,#75AADB"
1984,Belgium,BEL,Belgium,red,red,NA,"black,yellow,#75AADB"
1980,Belgium,BEL,Belgium,red,red,NA,"black,yellow,#75AADB"
1972,Belgium,BEL,Belgium,red,red,NA,"black,yellow,#75AADB"
2004,Bulgaria,BGR,Bulgaria,"white,green,red",white,green,NA
1996,Bulgaria,BGR,Bulgaria,"white,green,red",white,green,NA
2016,Croatia,HRV,Croatia,"red,white,blue",red,white,NA
2012,Croatia,HRV,Croatia,"red,white,blue",red,white,NA
2008,Croatia,HRV,Croatia,"red,white,blue",red,white,NA
2004,Croatia,HRV,Croatia,"red,white,blue",red,white,NA
1996,Croatia,HRV,Croatia,"red,white,blue",red,white,NA
1980,CSSR,CSK,Czech Republic,"white,red,#0000CC",white,red,NA
1976,CSSR,CSK,Czech Republic,"white,red,#0000CC",white,red,NA
1960,CSSR,CSK,Czech Republic,"white,red,#0000CC",white,red,NA
2016,Czech Republic,CZE,Czech Republic,"white,red,#0000CC",white,red,NA
2012,Czech Republic,CZE,Czech Republic,"white,red,#0000CC",white,red,NA
2008,Czech Republic,CZE,Czech Republic,"white,red,#0000CC",white,red,NA
2004,Czech Republic,CZE,Czech Republic,"white,red,#0000CC",white,red,NA
2000,Czech Republic,CZE,Czech Republic,"white,red,#0000CC",white,red,NA
1996,Czech Republic,CZE,Czech Republic,"white,red,#0000CC",white,red,NA
2012,Denmark,DNK,Denmark,"red,white",red,white,NA
2004,Denmark,DNK,Denmark,"red,white",red,white,NA
2000,Denmark,DNK,Denmark,"red,white",red,white,NA
1996,Denmark,DNK,Denmark,"red,white",red,white,NA
1992,Denmark,DNK,Denmark,"red,white",red,white,NA
1988,Denmark,DNK,Denmark,"red,white",red,white,NA
1984,Denmark,DNK,Denmark,"red,white",red,white,NA
1964,Denmark,DNK,Denmark,"red,white",red,white,NA
2016,England,GB-ENG,England,"red,white",red,white,Blue
2012,England,GB-ENG,England,"red,white",red,white,Blue
2004,England,GB-ENG,England,"red,white",red,white,Blue
2000,England,GB-ENG,England,"red,white",red,white,Blue
1996,England,GB-ENG,England,"red,white",red,white,Blue
1992,England,GB-ENG,England,"red,white",red,white,Blue
1988,England,GB-ENG,England,"red,white",red,white,Blue
1980,England,GB-ENG,England,"red,white",red,white,Blue
1968,England,GB-ENG,England,"red,white",red,white,Blue
2016,France,FRA,France,"blue,white,red",blue,white,NA
2012,France,FRA,France,"blue,white,red",blue,white,NA
2008,France,FRA,France,"blue,white,red",blue,white,NA
2004,France,FRA,France,"blue,white,red",blue,white,NA
2000,France,FRA,France,"blue,white,red",blue,white,NA
1996,France,FRA,France,"blue,white,red",blue,white,NA
1992,France,FRA,France,"blue,white,red",blue,white,NA
1984,France,FRA,France,"blue,white,red",blue,white,NA
1960,France,FRA,France,"blue,white,red",blue,white,NA
2016,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
2012,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
2008,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
2004,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
2000,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
1996,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
1992,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
1988,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
1984,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
1980,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
1976,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
1972,Germany,DEU,Germany,"black,red,gold",black,red,"white,silver"
2012,Greece,GRC,Greece,"blue,white",blue,white,NA
2008,Greece,GRC,Greece,"blue,white",blue,white,NA
2004,Greece,GRC,Greece,"blue,white",blue,white,NA
1980,Greece,GRC,Greece,"blue,white",blue,white,NA
2016,Hungary,HUN,Hungary,"red,white,green",red,white,NA
1972,Hungary,HUN,Hungary,"red,white,green",red,white,NA
1964,Hungary,HUN,Hungary,"red,white,green",red,white,NA
2016,Iceland,ISL,Iceland,"#0000CC,white,red",,0000CC,NA
2016,Ireland,IRL,Ireland,green,green,NA,"Blue,white,#FF7F00"
2012,Ireland,IRL,Ireland,green,green,NA,"Blue,white,#FF7F00"
1988,Ireland,IRL,Ireland,green,green,NA,"Blue,white,#FF7F00"
2016,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
2012,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
2008,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
2004,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
2000,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
1996,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
1988,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
1980,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
1968,Italy,ITA,Italy,"green,white,red",green,white,#007FFF
2004,Latvia,LVA,Latvia,"#9D2235,white",,9D2235,NA
2012,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
2008,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
2004,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
2000,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
1996,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
1992,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
1988,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
1980,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
1976,Netherlands,NLD,Netherlands,#FF8000,,FF8000,"#AE1C28,white,#21468B"
2016,Northern Ireland,GB-NIR,Northern Ireland,"red,white",red,white,"green,white"
2000,Norway,NOR,Norway,"red,white,darkblue",red,white,NA
2016,Poland,POL,Poland,"white,red",white,red,NA
2012,Poland,POL,Poland,"white,red",white,red,NA
2008,Poland,POL,Poland,"white,red",white,red,NA
2016,Portugal,PRT,Portugal,"green,red",green,red,"white,blue"
2012,Portugal,PRT,Portugal,"green,red",green,red,"white,blue"
