"year","teams","url","team","qualified_as","qualified_on","url_team","url_comp_logo","comp_prev","team_alpha3"
1960,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1960","France","Quarter-finals winner","27 March 1960","/wiki/France_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/d9/UEFA_Euro_1960_logo.svg/200px-UEFA_Euro_1960_logo.svg.png",NA,"FRA"
1960,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1960","Yugoslavia","Quarter-finals winner","22 May 1960","/wiki/Yugoslavia_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/d9/UEFA_Euro_1960_logo.svg/200px-UEFA_Euro_1960_logo.svg.png",NA,"YUG"
1960,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1960","Soviet Union","Quarter-finals winner[A]","28 May 1960","/wiki/Soviet_Union_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/d9/UEFA_Euro_1960_logo.svg/200px-UEFA_Euro_1960_logo.svg.png",NA,"SUN"
1960,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1960","Czechoslovakia","Quarter-finals winner","29 May 1960","/wiki/Czechoslovakia_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/d/d9/UEFA_Euro_1960_logo.svg/200px-UEFA_Euro_1960_logo.svg.png",NA,"CSK"
1964,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1964","Denmark","Quarter-final winner","18 December 1963","/wiki/Denmark_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/3/32/UEFA_Euro_1964_logo.svg/200px-UEFA_Euro_1964_logo.svg.png","0 (debut)","DNK"
1964,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1964","Spain","Quarter-final winner","8 April 1964","/wiki/Spain_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/3/32/UEFA_Euro_1964_logo.svg/200px-UEFA_Euro_1964_logo.svg.png","0 (debut)","ESP"
1964,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1964","Hungary","Quarter-final winner","23 May 1964","/wiki/Hungary_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/3/32/UEFA_Euro_1964_logo.svg/200px-UEFA_Euro_1964_logo.svg.png","0 (debut)","HUN"
1964,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1964","Soviet Union","Quarter-final winner","27 May 1964","/wiki/Soviet_Union_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/3/32/UEFA_Euro_1964_logo.svg/200px-UEFA_Euro_1964_logo.svg.png","1 (1960)","SUN"
1968,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1968","Italy","Quarter-final winner","20 April 1968","/wiki/Italy_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/4/48/UEFA_Euro_1968_logo.svg/200px-UEFA_Euro_1968_logo.svg.png","0 (debut)","ITA"
1968,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1968","Yugoslavia","Quarter-final winner","24 April 1968","/wiki/Yugoslavia_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/4/48/UEFA_Euro_1968_logo.svg/200px-UEFA_Euro_1968_logo.svg.png","1 (1960)","YUG"
1968,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1968","England","Quarter-final winner","8 May 1968","/wiki/England_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/4/48/UEFA_Euro_1968_logo.svg/200px-UEFA_Euro_1968_logo.svg.png","0 (debut)","GB-ENG"
1968,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1968","Soviet Union","Quarter-final winner","11 May 1968","/wiki/Soviet_Union_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/4/48/UEFA_Euro_1968_logo.svg/200px-UEFA_Euro_1968_logo.svg.png","2 (1960, 1964)","SUN"
1972,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1972","Belgium","Quarter-final winner","13 May 1972","/wiki/Belgium_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/e/e3/UEFA_Euro_1972_logo.svg/200px-UEFA_Euro_1972_logo.svg.png","0 (debut)","BEL"
1972,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1972","Soviet Union","Quarter-final winner","13 May 1972","/wiki/Soviet_Union_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/e/e3/UEFA_Euro_1972_logo.svg/200px-UEFA_Euro_1972_logo.svg.png","3 (1960, 1964, 1968)","SUN"
1972,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1972","West Germany","Quarter-final winner","13 May 1972","/wiki/Germany_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/e/e3/UEFA_Euro_1972_logo.svg/200px-UEFA_Euro_1972_logo.svg.png","0 (debut)","DEU"
1972,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1972","Hungary","Quarter-final winner","17 May 1972","/wiki/Hungary_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/e/e3/UEFA_Euro_1972_logo.svg/200px-UEFA_Euro_1972_logo.svg.png","1 (1964)","HUN"
1976,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1976","Czechoslovakia","Quarter-final winner","22 May 1976","/wiki/Czechoslovakia_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7c/UEFA_Euro_1976_logo.svg/200px-UEFA_Euro_1976_logo.svg.png","1 (1960)","CSK"
1976,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1976","Netherlands","Quarter-final winner","22 May 1976","/wiki/Netherlands_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7c/UEFA_Euro_1976_logo.svg/200px-UEFA_Euro_1976_logo.svg.png","0 (debut)","NLD"
1976,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1976","West Germany","Quarter-final winner","22 May 1976","/wiki/Germany_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7c/UEFA_Euro_1976_logo.svg/200px-UEFA_Euro_1976_logo.svg.png","1 (1972)","DEU"
1976,4,"https://en.wikipedia.org/wiki/UEFA_Euro_1976","Yugoslavia","Quarter-final winner","22 May 1976","/wiki/Yugoslavia_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/7/7c/UEFA_Euro_1976_logo.svg/200px-UEFA_Euro_1976_logo.svg.png","2 (1960, 1968)","YUG"
1980,8,"https://en.wikipedia.org/wiki/UEFA_Euro_1980","Italy","Host","12 November 1977","/wiki/Italy_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/b/b4/UEFA_Euro_1980_logo.svg/200px-UEFA_Euro_1980_logo.svg.png","1 (1968)","ITA"
1980,8,"https://en.wikipedia.org/wiki/UEFA_Euro_1980","Greece","Group 6 winner","31 October 1979","/wiki/Greece_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/b/b4/UEFA_Euro_1980_logo.svg/200px-UEFA_Euro_1980_logo.svg.png","0 (debut)","GRC"
1980,8,"https://en.wikipedia.org/wiki/UEFA_Euro_1980","England","Group 1 winner","21 November 1979","/wiki/England_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/b/b4/UEFA_Euro_1980_logo.svg/200px-UEFA_Euro_1980_logo.svg.png","1 (1968)","GB-ENG"
1980,8,"https://en.wikipedia.org/wiki/UEFA_Euro_1980","Netherlands","Group 4 winner","21 November 1979","/wiki/Netherlands_national_football_team","//upload.wikimedia.org/wikipedia/en/thumb/b/b4/UEFA_Euro_1980_logo.svg/200px-UEFA_Euro_1980_logo.svg.png","1 (1976)","NLD"
